timestamp,session_id,fatigue_score,eye_ratio,yawn_count,head_pitch,head_yaw,head_roll,speed_kmh,acceleration_ms2,steering_angle_deg,throttle_position_pct,brake_pressure_pct,co2_estimate_gkm,events_detected,event_count,cumulative_distance_km,eco_score,recommendation
2026-03-12 15:13:53,20260312_151353,0.0,0.3,0,0,0,0,100.0,5.25,-11.8,100.0,0,198.8,harsh_acceleration,1,0.03,100.0,Accélérations plus progressives pour réduire consommation
2026-03-12 15:13:54,20260312_151353,0.09224731140912894,0.3,0,0,0,0,100.0,-0.88,-10.0,0,17.7,100.0,none,0,0.06,100.0,
2026-03-12 15:13:55,20260312_151353,0.25981456554381266,0.3,0,0,0,0,47.7,0.88,-7.6,58.8,0,109.2,none,0,0.07,100.0,
2026-03-12 15:13:56,20260312_151353,0.4767364006024881,0.3,0,0,0,0,45.5,-0.19,7.5,42.8,0,92.2,steering_oscillation,1,0.08,100.0,Maintenir trajectoire stable - signe possible de fatigue?
2026-03-12 15:13:57,20260312_151353,0.7335298523838129,0.3,0,0,0,0,40.0,3.13,5.9,81.3,0,145.2,harsh_acceleration,1,0.09,100.0,Accélérations plus progressives pour réduire consommation
2026-03-12 15:13:58,20260312_151353,1.0250394887496916,0.3,0,0,0,0,40.0,-0.74,-7.7,0,14.9,82.0,none,0,0.1,31.1,
2026-03-12 15:13:59,20260312_151353,1.347081322821336,0.3,0,0,0,0,67.6,3.35,-9.9,83.5,0,157.2,"harsh_acceleration,speeding",2,0.12,29.2,Accélérations plus progressives pour réduire consommation
2026-03-12 15:14:00,20260312_151353,1.6972665818307906,0.3,0,0,0,0,96.1,-4.36,-6.4,0,87.2,98.8,harsh_braking,1,0.15,32.0,Anticiper le trafic pour freiner en douceur
2026-03-12 15:14:01,20260312_151353,2.0733375711286492,0.3,0,0,0,0,89.3,5.54,2.6,100.0,0,199.9,harsh_acceleration,1,0.17,27.3,Accélérations plus progressives pour réduire consommation
2026-03-12 15:14:02,20260312_151353,2.4742614588734475,0.3,0,0,0,0,71.7,2.63,17.1,76.3,0,146.2,"harsh_acceleration,speeding",2,0.19,26.9,Accélérations plus progressives pour réduire consommation
