timestamp,session_id,fatigue_score,eye_ratio,yawn_count,head_pitch,head_yaw,head_roll,speed_kmh,acceleration_ms2,steering_angle_deg,throttle_position_pct,brake_pressure_pct,co2_estimate_gkm,events_detected,event_count,cumulative_distance_km,eco_score,recommendation
2025-11-19 00:00:34,20251119_000034,0,0.3,0,0,0,0,40.0,-1.91,10.3,0,38.3,82.0,none,0,0.01,100.0,
2025-11-19 00:00:35,20251119_000034,0,0.3,0,0,0,0,40.0,-0.33,8.6,56.7,0,93.3,none,0,0.02,100.0,
2025-11-19 00:00:36,20251119_000034,0.7480000000000001,0.1837253774396303,0,173.2534316299654,0.4521439542252629,-3.829197323679089,40.0,-4.73,-1.5,0,94.6,82.0,harsh_braking,1,0.03,100.0,
2025-11-19 00:00:37,20251119_000034,1.6772920000000004,0.20374187080854214,0,-170.62132312688018,-11.023362017947369,-5.796580416260392,70.5,4.24,-2.5,92.4,0,173.3,"harsh_acceleration,speeding",2,0.05,100.0,
2025-11-19 00:00:38,20251119_000034,2.8320046145333335,0.22935172866672937,0,-176.8746512322569,-13.94221895652083,-2.709457730407567,66.3,3.88,0.5,88.8,0,165.9,"harsh_acceleration,speeding",2,0.07,100.0,
2025-11-19 00:00:39,20251119_000034,4.197358031018877,0.2084581210499757,0,-175.74349811913174,-12.05111068180034,-2.735980621388988,79.0,-0.61,13.2,0,12.1,93.7,speeding,1,0.09,100.0,
2025-11-19 00:00:40,20251119_000034,6.54302081602937,0.1685714824382955,0,-174.3296826085311,-11.002097839890396,-2.4159413053350045,97.4,-0.17,27.4,61.8,0,111.6,none,0,0.12,35.7,
2025-11-19 00:00:41,20251119_000034,10.164121039608986,0.23851987832121524,0,-179.47137335409124,-14.6776299830917,-2.566517136609837,60.5,-3.25,35.9,0,65.0,88.2,"harsh_braking,speeding",2,0.14,37.4,
2025-11-19 00:00:42,20251119_000034,13.216769316077507,0.2104604030906143,0,177.6026912832649,-14.183965275181047,-0.18919279865668134,40.0,4.24,27.6,92.4,0,164.0,harsh_acceleration,1,0.15,35.8,
2025-11-19 00:00:43,20251119_000034,17.12324110210555,0.1753666944886709,0,176.98671931265994,-7.894920230016945,5.274878723965419,40.0,-0.14,26.0,35.5,0,89.1,none,0,0.16,36.7,
2025-11-19 00:00:44,20251119_000034,20.09142515375812,0.23576964470654685,0,176.20595088497518,-21.495044534266274,5.429824855507657,94.2,6.94,3.1,100.0,0,222.4,"harsh_acceleration,steering_oscillation",2,0.19,30.0,
2025-11-19 00:00:45,20251119_000034,24.360959741805036,0.26937403992584424,0,179.08728875109074,-28.835448324762957,-4.022969965904994,100.0,3.3,12.6,83.0,0,166.2,harsh_acceleration,1,0.21,28.0,
2025-11-19 00:00:46,20251119_000034,25.75237739086208,0.224256583923269,0,173.4676830561916,-21.547914787884842,-0.8589012244961379,100.0,-1.44,12.2,0,28.8,100.0,none,0,0.24,29.9,
