timestamp,elapsed_seconds,fatigue_score,eye_ratio,mouth_ratio,pitch_deg,yaw_deg,roll_deg,yawn_count,eye_closed_flag,head_down_flag,speed_kmh,acceleration_ms2,throttle_percent,brake_percent,steering_angle_deg,steering_grip,driving_fatigue_level,co2_rate_g_per_km,mode,eco_score,event_type,event_severity,recommendation
2025-11-16 15:49:56.759,0.0,0,0.3,0.3,0,0,0,0,0,0,1.55,1.552,50.4,4.5,-0.99,0.735,0,148.74,mixed,75.0,,,
2025-11-16 15:49:57.759,0.009701967239379883,0,0.3,0.3,0,0,0,0,0,0,6.48,4.925,71.6,12.0,-4.72,0.754,0,127.08,mixed,80.0,,,
2025-11-16 15:49:58.759,0.01789069175720215,0,0.3,0.3,0,0,0,0,0,0,10.71,4.234,53.3,3.3,-5.03,0.609,0,123.28,mixed,80.0,,,
2025-11-16 15:49:59.759,0.030999422073364258,0,0.3,0.3,0,0,0,0,0,0,12.94,2.229,61.8,0.0,6.07,0.648,0,106.72,mixed,95.0,,,
2025-11-16 15:50:00.759,0.04629826545715332,0,0.3,0.3,0,0,0,0,0,0,15.89,2.951,82.3,3.1,15.82,0.754,0,134.03,mixed,72.0,,,
2025-11-16 15:50:01.759,0.06221461296081543,0,0.3,0.3,0,0,0,0,0,0,18.97,3.074,70.5,4.2,24.93,0.532,0,131.73,mixed,80.0,,,
2025-11-16 15:50:02.759,0.07807087898254395,0,0.3,0.3,0,0,0,0,0,0,20.73,1.762,84.2,6.6,25.94,0.738,0,116.56,mixed,87.0,,,
2025-11-16 15:50:03.759,0.09375739097595215,0,0.3,0.3,0,0,0,0,0,0,23.52,2.797,42.1,7.2,25.48,0.802,0,125.04,mixed,80.0,,,
2025-11-16 15:50:04.759,0.10996413230895996,0,0.3,0.3,0,0,0,0,0,0,24.52,0.991,83.8,2.1,27.09,0.637,0,117.96,mixed,87.0,,,
2025-11-16 15:50:05.759,0.12592315673828125,0,0.3,0.3,0,0,0,0,0,0,27.06,2.541,50.9,0.0,13.96,0.862,0,129.08,mixed,80.0,,,
2025-11-16 15:50:06.759,0.14157390594482422,0,0.3,0.3,0,0,0,0,0,0,30.28,3.227,49.7,9.5,18.52,0.793,0,130.03,mixed,80.0,,,
2025-11-16 15:50:07.759,0.1574547290802002,0,0.3,0.3,0,0,0,0,0,0,32.49,2.204,67.8,0.7,28.83,0.854,0,116.32,mixed,95.0,,,
2025-11-16 15:50:08.759,0.16434931755065918,0,0.3,0.3,0,0,0,0,0,0,35.63,3.142,56.5,6.6,40.64,0.738,0,134.21,mixed,80.0,,,
2025-11-16 15:50:09.759,0.16971993446350098,0,0.3,0.3,0,0,0,0,0,0,38.09,2.459,46.9,10.2,33.19,0.58,0,112.31,mixed,95.0,,,
2025-11-16 15:50:10.759,0.18244147300720215,0,0.3,0.3,0,0,0,0,0,0,40.5,2.416,65.4,8.1,27.42,0.691,0,118.81,mixed,95.0,,,
2025-11-16 15:50:11.759,0.19660115242004395,0,0.3,0.3,0,0,0,0,0,0,41.86,1.355,52.3,6.7,24.12,0.893,0,115.44,mixed,95.0,,,
2025-11-16 15:50:12.759,0.2136068344116211,0,0.3,0.3,0,0,0,0,0,0,42.52,0.658,69.0,1.4,18.34,0.699,0,120.7,mixed,95.0,,,
2025-11-16 15:50:13.759,0.22967958450317383,0,0.3,0.3,0,0,0,0,0,0,43.63,1.114,86.0,5.1,27.61,0.799,0,126.25,mixed,87.0,,,
2025-11-16 15:50:14.759,0.245347261428833,0,0.3,0.3,0,0,0,0,0,0,43.64,0.012,76.2,0.0,22.44,0.57,0,123.32,mixed,95.0,,,
2025-11-16 15:50:15.759,0.2613179683685303,0,0.3,0.3,0,0,0,0,0,0,46.92,3.272,38.1,6.5,26.46,0.683,0,133.19,mixed,80.0,,,
2025-11-16 15:50:16.759,0.27733349800109863,0,0.3,0.3,0,0,0,0,0,0,47.59,0.672,59.2,6.3,30.05,0.639,0,119.79,mixed,95.0,,,
2025-11-16 15:50:17.759,0.2997860908508301,0,0.3,0.3,0,0,0,0,0,0,47.29,-0.302,37.5,0.0,39.22,0.777,0,113.17,mixed,95.0,,,
2025-11-16 15:50:18.759,0.31572580337524414,0,0.3,0.3,0,0,0,0,0,0,49.2,1.913,47.7,13.4,42.63,0.643,0,117.0,mixed,95.0,,,
2025-11-16 15:50:19.759,0.3317389488220215,0,0.3,0.3,0,0,0,0,0,0,48.98,-0.216,32.7,3.5,25.02,0.822,0,112.39,mixed,95.0,,,
2025-11-16 15:50:20.759,0.3466627597808838,0,0.3,0.3,0,0,0,0,0,0,49.48,0.498,67.8,4.9,13.07,0.69,0,123.13,mixed,95.0,,,
2025-11-16 15:50:21.759,0.36342930793762207,0,0.3,0.3,0,0,0,0,0,0,50.03,0.554,37.8,12.5,11.41,0.549,0,114.34,mixed,95.0,,,
2025-11-16 15:50:22.759,0.36820220947265625,0,0.3,0.3,0,0,0,0,0,0,52.94,2.904,62.5,4.5,12.21,0.721,0,142.92,mixed,80.0,,,
2025-11-16 15:50:23.759,0.3834853172302246,0,0.3,0.3,0,0,0,0,0,0,52.64,-0.3,21.0,2.8,-0.0,0.861,0,110.35,mixed,95.0,,,
2025-11-16 15:50:24.759,0.3992307186126709,0,0.3,0.3,0,0,0,0,0,0,53.82,1.186,43.4,9.5,7.63,0.826,0,117.54,mixed,95.0,,,
2025-11-16 15:50:25.759,0.4156463146209717,0,0.3,0.3,0,0,0,0,0,0,55.44,1.614,41.6,2.6,5.55,0.668,0,117.67,mixed,95.0,,,
2025-11-16 15:50:26.759,0.43087267875671387,0,0.3,0.3,0,0,0,0,0,0,56.09,0.654,53.4,8.6,-4.3,0.653,0,121.45,mixed,95.0,,,
2025-11-16 15:50:27.759,0.43361520767211914,0,0.3,0.3,0,0,0,0,0,0,57.25,1.157,82.2,0.0,-6.16,0.604,0,130.55,mixed,87.0,,,
