timestamp,elapsed_seconds,fatigue_score,eye_ratio,mouth_ratio,pitch_deg,yaw_deg,roll_deg,yawn_count,eye_closed_flag,head_down_flag,speed_kmh,acceleration_ms2,throttle_percent,brake_percent,steering_angle_deg,steering_grip,driving_fatigue_level,co2_rate_g_per_km,mode,eco_score,event_type,event_severity,recommendation
2025-11-16 15:46:44.273,0.0,0,0.3,0.3,0,0,0,0,0,0,4.7,4.701,60.3,0.1,-1.1,0.713,0,122.96,mixed,80.0,,,
2025-11-16 15:46:45.273,0.009086847305297852,0,0.3,0.3,0,0,0,0,0,0,7.48,2.778,63.7,3.9,0.46,0.673,0,125.09,mixed,80.0,,,
2025-11-16 15:46:46.273,0.024868011474609375,0,0.3,0.3,0,0,0,0,0,0,10.15,2.67,62.9,4.0,4.98,0.774,0,125.93,mixed,80.0,,,
2025-11-16 15:46:47.273,0.04204726219177246,0,0.3,0.3,0,0,0,0,0,0,14.18,4.034,47.9,18.2,8.46,0.754,0,123.05,mixed,80.0,,,
2025-11-16 15:46:48.273,0.0442042350769043,0,0.3,0.3,0,0,0,0,0,0,17.1,2.92,78.4,9.8,6.45,0.755,0,133.37,mixed,80.0,,,
2025-11-16 15:46:49.273,0.05896735191345215,0,0.3,0.3,0,0,0,0,0,0,19.42,2.319,47.1,1.9,10.27,0.581,0,104.89,mixed,95.0,,,
2025-11-16 15:46:50.273,0.07470417022705078,0,0.3,0.3,0,0,0,0,0,0,22.4,2.976,36.1,1.4,6.09,0.708,0,122.78,mixed,80.0,,,
2025-11-16 15:46:51.273,0.09175610542297363,0,0.3,0.3,0,0,0,0,0,0,21.3,-1.099,0,65.8,-4.63,0.687,0,91.52,mixed,95.0,,,
2025-11-16 15:46:52.273,0.10814213752746582,0,0.3,0.3,0,0,0,0,0,0,25.76,4.463,60.9,8.6,-7.74,0.726,0,131.57,mixed,80.0,,,
2025-11-16 15:46:53.273,0.1107492446899414,0,0.3,0.3,0,0,0,0,0,0,28.34,2.575,50.6,0.0,-10.2,0.622,0,129.51,mixed,80.0,,,
2025-11-16 15:46:54.273,0.12560415267944336,0,0.3,0.3,0,0,0,0,0,0,30.33,1.992,46.8,6.8,-9.32,0.702,0,109.17,mixed,95.0,,,
